year,springincrease5,springincrease3,springnochange,springdecrease3,springdecrease5,autumnincrease5,autumnincrease3,autumnnochange,autumndecrease3,autumndecrease5,summerincrease5,summerincrease3,summernochange,summerdecrease3,summerdecrease5,allincrease5,allincrease3,allnochange,alldecrease3,alldecrease5
2023,156.3431725,156.2655513,156.1879301,156.1103089,156.0326878,277.7579238,277.8555393,277.9531548,278.0507703,278.1483858,0.297187142,0.297657238,0.298127334,0.29859743,0.299067526,34.48118154,34.5033323,34.52548305,34.54763381,34.56978456
2024,157.6993875,157.5441452,157.3889028,157.2336604,157.0784181,303.2842849,303.479516,303.674747,303.869978,304.065209,0.328489932,0.329430124,0.330370316,0.331310508,0.332250699,35.63245696,35.67675847,35.72105998,35.76536149,35.809663
2025,134.6241986,134.3913351,134.1584715,133.925608,133.6927445,286.9323153,287.2251619,287.5180084,287.810855,288.1037015,0.322195928,0.323606215,0.325016503,0.326426791,0.327837079,38.71550027,38.78195254,38.8484048,38.91485707,38.98130933
2026,112.1596961,111.8492114,111.5387266,111.2282419,110.9177572,310.0534477,310.4439098,310.8343718,311.2248339,311.6152959,0.353161784,0.355042167,0.356922551,0.358802934,0.360683318,46.00431545,46.09291847,46.18152149,46.27012451,46.35872753
2027,152.6755178,152.2874119,151.899306,151.5112001,151.1230942,293.9751269,294.4632045,294.951282,295.4393596,295.9274372,0.342541407,0.344891887,0.347242366,0.349592845,0.351943325,40.7581104,40.86886417,40.97961795,41.09037172,41.2011255
2028,142.6534872,142.1877601,141.722033,141.256306,140.7905789,302.3497334,302.9354265,303.5211196,304.1068127,304.6925058,0.380084929,0.382905504,0.385726079,0.388546655,0.39136723,45.11267297,45.2455775,45.37848203,45.51138656,45.6442911
2029,160.6316908,160.0883425,159.5449943,159.001646,158.4582978,297.3115228,297.9948314,298.67814,299.3614486,300.0447572,0.376241813,0.379532484,0.382823156,0.386113827,0.389404498,40.87546847,41.03052376,41.18557905,41.34063433,41.49568962
2030,143.5676828,142.9467133,142.3257439,141.7047745,141.0838051,286.6451605,287.4260846,288.2070087,288.9879328,289.7688569,0.385526536,0.389287303,0.39304807,0.396808837,0.400569604,44.85879487,45.03600091,45.21320695,45.39041299,45.56761903
2031,147.233319,146.5347283,145.8361377,145.1375471,144.4389565,296.5780319,297.4565715,298.3351111,299.2136508,300.0921904,0.391944928,0.396175791,0.400406654,0.404637517,0.40886838,46.60650154,46.80585834,47.00521514,47.20457193,47.40392873
2032,126.1664196,125.3902078,124.613996,123.8377843,123.0615725,308.2577954,309.2339505,310.2101057,311.1862608,312.162416,0.421973724,0.426674683,0.431375641,0.4360766,0.440777559,53.69731265,53.9188202,54.14032775,54.36183531,54.58334286
2033,141.6917434,140.8379104,139.9840775,139.1302445,138.2764116,287.5322461,288.6060167,289.6797874,290.753558,291.8273287,0.430505287,0.435676342,0.440847396,0.446018451,0.451189506,50.57929639,50.8229547,51.06661301,51.31027132,51.55392962
2034,136.9226687,135.9912145,135.0597604,134.1283063,133.1968521,317.8196625,318.9910487,320.1624349,321.333821,322.5052072,0.457751589,0.46339274,0.469033891,0.474675041,0.480316192,53.84730162,54.11311068,54.37891974,54.64472881,54.91053787
2035,133.3120555,132.3029802,131.2939049,130.2848296,129.2757542,285.8751324,287.1441341,288.4131358,289.6821374,290.9511391,0.451685589,0.457796835,0.463908082,0.470019328,0.476130575,53.62344877,53.91140858,54.1993684,54.48732822,54.77528804
2036,127.673674,126.5869775,125.500281,124.4135845,123.326888,292.0634911,293.4301083,294.7967255,296.1633427,297.5299599,0.466877168,0.47345851,0.480039853,0.486621195,0.493202538,56.79560265,57.10571322,57.41582379,57.72593437,58.03604494
2037,161.673972,160.5096543,159.3453367,158.181019,157.0167013,295.0329533,296.497186,297.9614187,299.4256514,300.8898841,0.484596076,0.491647514,0.498698952,0.505750391,0.512801829,52.45426028,52.78652161,53.11878293,53.45104426,53.78330559
2038,135.4466411,134.2047022,132.9627634,131.7208245,130.4788857,306.0286723,307.5905205,309.1523687,310.7142169,312.2760652,0.504363752,0.511885286,0.519406821,0.526928355,0.534449889,61.67637242,62.03078451,62.38519659,62.73960867,63.09402076
2039,140.4864532,139.1668932,137.8473332,136.5277732,135.2082131,297.0475652,298.7070289,300.3664927,302.0259564,303.6854201,0.523729239,0.531720869,0.539712499,0.54770413,0.55569576,60.62251372,60.99907656,61.3756394,61.75220223,62.12876507
2040,123.7063354,122.3091542,120.911973,119.5147918,118.1176106,309.5207088,311.2777881,313.0348674,314.7919466,316.5490259,0.548060445,0.556522171,0.564983897,0.573445623,0.581907349,66.56302684,66.96174043,67.36045403,67.75916762,68.15788121
2041,126.5266185,125.0518161,123.5770137,122.1022113,120.6274089,302.1932643,304.0479591,305.9026539,307.7573486,309.6120434,0.557764686,0.566696508,0.57562833,0.584560152,0.593491974,64.43151053,64.85237488,65.27323923,65.69410358,66.11496793
2042,115.8425723,114.2901487,112.7377251,111.1853016,109.632878,317.2006404,319.1529507,321.105261,323.0575713,325.0098816,0.583316967,0.592718885,0.602120803,0.611522721,0.620924639,72.02505509,72.46807019,72.9110853,73.3541004,73.7971155
2043,129.8553943,128.2253496,126.5953049,124.9652601,123.3352154,324.4122009,326.4621267,328.5120525,330.5619783,332.6119041,0.610276954,0.620148968,0.630020982,0.639892995,0.649765009,71.88983774,72.3550036,72.82016946,73.28533532,73.75050117
2044,98.69505982,96.9873939,95.27972798,93.57206206,91.86439615,322.6539041,324.8014454,326.9489867,329.096528,331.2440694,0.622571701,0.632913811,0.64325592,0.65359803,0.663940139,78.14851393,78.63583054,79.12314716,79.61046377,80.09778039
2045,123.7507765,121.9654894,120.1802023,118.3949152,116.6096281,320.7120907,322.9572475,325.2024044,327.4475612,329.692718,0.644596803,0.655409009,0.666221214,0.67703342,0.687845625,78.07372048,78.58318785,79.09265522,79.60212259,80.11158996
2046,146.5148398,144.6519315,142.7890232,140.926115,139.0632067,314.7245496,317.0673219,319.4100943,321.7528666,324.095639,0.654853012,0.666135314,0.677417615,0.688699916,0.699982218,74.496254,75.02787213,75.55949025,76.09110838,76.6227265
2047,103.1286691,101.1881396,99.24761015,97.3070807,95.36655125,288.0448549,290.4852427,292.9256306,295.3660184,297.8064063,0.65389126,0.665643657,0.677396055,0.689148452,0.700900849,80.75074707,81.30451595,81.85828483,82.4120537,82.96582258
2048,137.2915097,135.2733591,133.2552084,131.2370578,129.2189072,319.1220895,321.6600929,324.1980963,326.7360997,329.274103,0.69211612,0.704338613,0.716561106,0.728783599,0.741006093,81.3112584,81.88717803,82.46309767,83.0390173,83.61493694
2049,122.5658778,120.470106,118.3743342,116.2785624,114.1827906,308.8167205,311.4523394,314.0879583,316.7235772,319.3591961,0.705075265,0.717767854,0.730460443,0.743153032,0.755845621,84.27143145,84.86950183,85.46757222,86.06564261,86.663713
2050,140.9312881,138.7578952,136.5845022,134.4111092,132.2377162,305.4705794,308.2038138,310.9370482,313.6702826,316.403517,0.721897328,0.735060013,0.748222698,0.761385383,0.774548068,80.4161204,81.03634154,81.65656269,82.27678383,82.89700498